index,German,IPA,English,Topic
916,installieren,/installiːren/,to install,20 Technology and Internet
917,die Datei ist wichtig,/diː dataɪ ist viçtig/,the file is important,20 Technology and Internet
918,der Bildschirm ist wichtig,/der bildʃirm ist viçtig/,the screen is important,20 Technology and Internet
919,die Tastatur ist wichtig,/diː tastatur ist viçtig/,the keyboard is important,20 Technology and Internet
920,das Passwort ist wichtig,/das passvort ist viçtig/,the password is important,20 Technology and Internet
921,der Benutzername ist wichtig,/der benuttsername ist viçtig/,the username is important,20 Technology and Internet
922,die Webseite ist wichtig,/diː vebsaɪte ist viçtig/,the website is important,20 Technology and Internet
923,die Nachricht ist wichtig,/diː naçriçt ist viçtig/,the message is important,20 Technology and Internet
924,das Netzwerk ist wichtig,/das nettsverk ist viçtig/,the network is important,20 Technology and Internet
925,die App im Alltag,/diː app im alltag/,app in everyday life,20 Technology and Internet
926,das Gerät,/das gerɛt/,device,20 Technology and Internet
927,der Drucker im Alltag,/der drucker im alltag/,printer in everyday life,20 Technology and Internet
928,die Einstellung,/diː aɪnstelluŋ/,setting,20 Technology and Internet
929,anklicken,/anklicken/,to click,20 Technology and Internet
930,empfangen,/empfaŋen/,to receive,20 Technology and Internet
931,sich einloggen,/siç aɪnloggen/,to log in,20 Technology and Internet
932,eine Datei herunterladen,/aɪne dataɪ herunterladen/,to download a file,20 Technology and Internet
933,der Anhang,/der anhaŋ/,attachment,20 Technology and Internet
934,die Suchmaschine,/diː suçmaʃine/,search engine,20 Technology and Internet
935,der Link,/der link/,link,20 Technology and Internet
936,herunterladen können,/herunterladen kønnen/,to be able to download,20 Technology and Internet
937,hochladen können,/hoçladen kønnen/,to be able to upload,20 Technology and Internet
938,über der Benutzername sprechen,/yber der benuttsername spreçen/,to talk about username,20 Technology and Internet
939,über das Netzwerk sprechen,/yber das nettsverk spreçen/,to talk about network,20 Technology and Internet
940,installieren können,/installiːren kønnen/,to be able to install,20 Technology and Internet
941,über die Datei ist wichtig sprechen,/yber diː dataɪ ist viçtig spreçen/,to talk about the file is important,20 Technology and Internet
942,über der Bildschirm ist wichtig sprechen,/yber der bildʃirm ist viçtig spreçen/,to talk about the screen is important,20 Technology and Internet
943,über die Tastatur ist wichtig sprechen,/yber diː tastatur ist viçtig spreçen/,to talk about the keyboard is important,20 Technology and Internet
944,über das Passwort ist wichtig sprechen,/yber das passvort ist viçtig spreçen/,to talk about the password is important,20 Technology and Internet
945,über der Benutzername ist wichtig sprechen,/yber der benuttsername ist viçtig spreçen/,to talk about the username is important,20 Technology and Internet
946,über die Webseite ist wichtig sprechen,/yber diː vebsaɪte ist viçtig spreçen/,to talk about the website is important,20 Technology and Internet
947,über die Nachricht ist wichtig sprechen,/yber diː naçriçt ist viçtig spreçen/,to talk about the message is important,20 Technology and Internet
948,über das Netzwerk ist wichtig sprechen,/yber das nettsverk ist viçtig spreçen/,to talk about the network is important,20 Technology and Internet
949,über die App sprechen,/yber diː app spreçen/,to talk about app,20 Technology and Internet
950,über das Gerät sprechen,/yber das gerɛt spreçen/,to talk about device,20 Technology and Internet
951,über der Drucker sprechen,/yber der drucker spreçen/,to talk about printer,20 Technology and Internet
952,über die Einstellung sprechen,/yber diː aɪnstelluŋ spreçen/,to talk about setting,20 Technology and Internet
953,anklicken können,/anklicken kønnen/,to be able to click,20 Technology and Internet
954,empfangen können,/empfaŋen kønnen/,to be able to receive,20 Technology and Internet
955,sich einloggen können,/siç aɪnloggen kønnen/,to be able to log in,20 Technology and Internet
956,eine Datei herunterladen können,/aɪne dataɪ herunterladen kønnen/,to be able to download a file,20 Technology and Internet
957,über der Anhang sprechen,/yber der anhaŋ spreçen/,to talk about attachment,20 Technology and Internet
958,über die Suchmaschine sprechen,/yber diː suçmaʃine spreçen/,to talk about search engine,20 Technology and Internet
959,über der Link sprechen,/yber der link spreçen/,to talk about link,20 Technology and Internet
960,die Meinung,/diː maɪnuŋ/,opinion,21 Communication and Social Interaction
961,zustimmen,/tsustimmen/,to agree,21 Communication and Social Interaction
962,widersprechen,/viderspreçen/,to disagree,21 Communication and Social Interaction
963,erzählen,/ertsɛhlen/,to tell,21 Communication and Social Interaction
964,erwähnen,/ervɛhnen/,to mention,21 Communication and Social Interaction
965,beschreiben,/beʃraɪben/,to describe,21 Communication and Social Interaction
966,nachfragen,/naçfragen/,to ask again,21 Communication and Social Interaction
967,höflich,/høfliç/,polite,21 Communication and Social Interaction
968,unhöflich,/unhøfliç/,impolite,21 Communication and Social Interaction
969,einladen,/aɪnladen/,to invite,21 Communication and Social Interaction
970,sich bedanken,/siç bedanken/,to thank,21 Communication and Social Interaction
971,gratulieren,/gratuliːren/,to congratulate,21 Communication and Social Interaction
972,das Gespräch ist wichtig,/das gesprɛç ist viçtig/,the conversation is important,21 Communication and Social Interaction
973,die Meinung ist wichtig,/diː maɪnuŋ ist viçtig/,the opinion is important,21 Communication and Social Interaction
974,das Missverständnis,/das missverstɛndnis/,misunderstanding,21 Communication and Social Interaction
975,die Begrüßung,/diː begrysuŋ/,greeting,21 Communication and Social Interaction
976,die Bitte,/diː bitte/,request,21 Communication and Social Interaction
977,Bescheid sagen,/beʃaɪd sagen/,to let someone know,21 Communication and Social Interaction
978,sich melden,/siç melden/,to get in touch,21 Communication and Social Interaction
979,höflich fragen,/høfliç fragen/,to ask politely,21 Communication and Social Interaction
980,seine Meinung sagen,/saɪne maɪnuŋ sagen/,to give one's opinion,21 Communication and Social Interaction
981,jemandem zustimmen,/jemandem tsustimmen/,to agree with someone,21 Communication and Social Interaction
982,die Reaktion,/diː reaktion/,reaction,21 Communication and Social Interaction
983,die Diskussion,/diː diskussion/,discussion,21 Communication and Social Interaction
984,über die Meinung sprechen,/yber diː maɪnuŋ spreçen/,to talk about opinion,21 Communication and Social Interaction
985,zustimmen können,/tsustimmen kønnen/,to be able to agree,21 Communication and Social Interaction
986,widersprechen können,/viderspreçen kønnen/,to be able to disagree,21 Communication and Social Interaction
987,erzählen können,/ertsɛhlen kønnen/,to be able to tell,21 Communication and Social Interaction
988,erwähnen können,/ervɛhnen kønnen/,to be able to mention,21 Communication and Social Interaction
989,beschreiben können,/beʃraɪben kønnen/,to be able to describe,21 Communication and Social Interaction
990,nachfragen können,/naçfragen kønnen/,to be able to ask again,21 Communication and Social Interaction
991,wirklich höflich,/virkliç høfliç/,really polite,21 Communication and Social Interaction
992,wirklich unhöflich,/virkliç unhøfliç/,really impolite,21 Communication and Social Interaction
993,einladen können,/aɪnladen kønnen/,to be able to invite,21 Communication and Social Interaction
994,sich bedanken können,/siç bedanken kønnen/,to be able to thank,21 Communication and Social Interaction
995,gratulieren können,/gratuliːren kønnen/,to be able to congratulate,21 Communication and Social Interaction
996,über das Gespräch ist wichtig sprechen,/yber das gesprɛç ist viçtig spreçen/,to talk about the conversation is important,21 Communication and Social Interaction
997,über die Meinung ist wichtig sprechen,/yber diː maɪnuŋ ist viçtig spreçen/,to talk about the opinion is important,21 Communication and Social Interaction
998,über das Missverständnis sprechen,/yber das missverstɛndnis spreçen/,to talk about misunderstanding,21 Communication and Social Interaction
999,über die Begrüßung sprechen,/yber diː begrysuŋ spreçen/,to talk about greeting,21 Communication and Social Interaction
1000,über die Bitte sprechen,/yber diː bitte spreçen/,to talk about request,21 Communication and Social Interaction
1001,Bescheid sagen können,/beʃaɪd sagen kønnen/,to be able to let someone know,21 Communication and Social Interaction
1002,sich melden können,/siç melden kønnen/,to be able to get in touch,21 Communication and Social Interaction
1003,höflich fragen können,/høfliç fragen kønnen/,to be able to ask politely,21 Communication and Social Interaction
1004,seine Meinung sagen können,/saɪne maɪnuŋ sagen kønnen/,to be able to give one's opinion,21 Communication and Social Interaction
1005,jemandem zustimmen können,/jemandem tsustimmen kønnen/,to be able to agree with someone,21 Communication and Social Interaction
1006,über die Reaktion sprechen,/yber diː reaktion spreçen/,to talk about reaction,21 Communication and Social Interaction
1007,über die Diskussion sprechen,/yber diː diskussion spreçen/,to talk about discussion,21 Communication and Social Interaction
1008,stattfinden,/stattfinden/,to take place,22 Plans Appointments and Events
1009,die Einladung,/diː aɪnladuŋ/,invitation,22 Plans Appointments and Events
1010,die Feier,/diː faɪer/,celebration,22 Plans Appointments and Events
1011,die Hochzeit,/diː hoçtsaɪt/,wedding,22 Plans Appointments and Events
1012,der Geburtstag,/der geburtstag/,birthday,22 Plans Appointments and Events
1013,der Plan,/der plan/,plan,22 Plans Appointments and Events
1014,vorhaben,/vorhaben/,to intend,22 Plans Appointments and Events
1015,sich verabreden,/siç verabreden/,to arrange to meet,22 Plans Appointments and Events
1016,zukünftig,/tsukynftig/,future,22 Plans Appointments and Events
1017,demnächst,/demnɛçst/,soon,22 Plans Appointments and Events
1018,verfügbar im Alltag,/verfygbar im alltag/,available in everyday life,22 Plans Appointments and Events
1019,der Kalender ist wichtig,/der kalender ist viçtig/,the calendar is important,22 Plans Appointments and Events
1020,die Einladung ist wichtig,/diː aɪnladuŋ ist viçtig/,the invitation is important,22 Plans Appointments and Events
1021,die Feier ist wichtig,/diː faɪer ist viçtig/,the celebration is important,22 Plans Appointments and Events
1022,die Hochzeit ist wichtig,/diː hoçtsaɪt ist viçtig/,the wedding is important,22 Plans Appointments and Events
1023,der Geburtstag ist wichtig,/der geburtstag ist viçtig/,the birthday is important,22 Plans Appointments and Events
1024,die Verabredung,/diː verabreduŋ/,appointment / date,22 Plans Appointments and Events
1025,die Zusage,/diː tsusage/,acceptance,22 Plans Appointments and Events
1026,die Absage,/diː absage/,cancellation,22 Plans Appointments and Events
1027,bestätigen,/bestɛtigen/,to confirm,22 Plans Appointments and Events
1028,geplant,/geplant/,planned,22 Plans Appointments and Events
1029,Bescheid geben,/beʃaɪd geben/,to let someone know,22 Plans Appointments and Events
1030,einen Termin verschieben,/aɪnen termin verʃiːben/,to postpone an appointment,22 Plans Appointments and Events
1031,eine Einladung annehmen,/aɪne aɪnladuŋ annehmen/,to accept an invitation,22 Plans Appointments and Events
1032,stattfinden können,/stattfinden kønnen/,to be able to take place,22 Plans Appointments and Events
1033,über die Einladung sprechen,/yber diː aɪnladuŋ spreçen/,to talk about invitation,22 Plans Appointments and Events
1034,über die Feier sprechen,/yber diː faɪer spreçen/,to talk about celebration,22 Plans Appointments and Events
1035,über die Hochzeit sprechen,/yber diː hoçtsaɪt spreçen/,to talk about wedding,22 Plans Appointments and Events
1036,über der Geburtstag sprechen,/yber der geburtstag spreçen/,to talk about birthday,22 Plans Appointments and Events
1037,über der Plan sprechen,/yber der plan spreçen/,to talk about plan,22 Plans Appointments and Events
1038,vorhaben können,/vorhaben kønnen/,to be able to intend,22 Plans Appointments and Events
1039,sich verabreden können,/siç verabreden kønnen/,to be able to arrange to meet,22 Plans Appointments and Events
1040,wirklich zukünftig,/virkliç tsukynftig/,really future,22 Plans Appointments and Events
1041,wirklich demnächst,/virkliç demnɛçst/,really soon,22 Plans Appointments and Events
1042,wirklich verfügbar im Alltag,/virkliç verfygbar im alltag/,really available in everyday life,22 Plans Appointments and Events
1043,über der Kalender ist wichtig sprechen,/yber der kalender ist viçtig spreçen/,to talk about the calendar is important,22 Plans Appointments and Events
1044,über die Einladung ist wichtig sprechen,/yber diː aɪnladuŋ ist viçtig spreçen/,to talk about the invitation is important,22 Plans Appointments and Events
1045,über die Feier ist wichtig sprechen,/yber diː faɪer ist viçtig spreçen/,to talk about the celebration is important,22 Plans Appointments and Events
1046,über die Hochzeit ist wichtig sprechen,/yber diː hoçtsaɪt ist viçtig spreçen/,to talk about the wedding is important,22 Plans Appointments and Events
1047,über der Geburtstag ist wichtig sprechen,/yber der geburtstag ist viçtig spreçen/,to talk about the birthday is important,22 Plans Appointments and Events
1048,über die Verabredung sprechen,/yber diː verabreduŋ spreçen/,to talk about appointment / date,22 Plans Appointments and Events
1049,über die Zusage sprechen,/yber diː tsusage spreçen/,to talk about acceptance,22 Plans Appointments and Events
1050,über die Absage sprechen,/yber diː absage spreçen/,to talk about cancellation,22 Plans Appointments and Events
1051,bestätigen können,/bestɛtigen kønnen/,to be able to confirm,22 Plans Appointments and Events
1052,wirklich geplant,/virkliç geplant/,really planned,22 Plans Appointments and Events
1053,Bescheid geben können,/beʃaɪd geben kønnen/,to be able to let someone know,22 Plans Appointments and Events
1054,einen Termin verschieben können,/aɪnen termin verʃiːben kønnen/,to be able to postpone an appointment,22 Plans Appointments and Events
1055,eine Einladung annehmen können,/aɪne aɪnladuŋ annehmen kønnen/,to be able to accept an invitation,22 Plans Appointments and Events
1056,erleben,/erleben/,to experience,23 Experiences and Past Events
1057,passieren,/passiːren/,to happen,23 Experiences and Past Events
1058,sich erinnern,/siç erinnern/,to remember,23 Experiences and Past Events
1059,vergessen,/vergessen/,to forget,23 Experiences and Past Events
1060,damals,/damals/,back then,23 Experiences and Past Events
1061,früher,/fryher/,formerly,23 Experiences and Past Events
1062,plötzlich,/pløttsliç/,suddenly,23 Experiences and Past Events
1063,zuerst,/tsuerst/,first,23 Experiences and Past Events
1064,danach,/danaç/,afterwards,23 Experiences and Past Events
1065,schließlich,/ʃliːsliç/,finally,23 Experiences and Past Events
1066,während,/vɛhrend/,during,23 Experiences and Past Events
1067,letztes Mal,/lettstes mal/,last time,23 Experiences and Past Events
1068,vor kurzem,/vor kurtsem/,recently,23 Experiences and Past Events
1069,die Erinnerung,/diː erinneruŋ/,memory,23 Experiences and Past Events
1070,das Erlebnis,/das erlebnis/,experience,23 Experiences and Past Events
1071,die Erinnerung ist wichtig,/diː erinneruŋ ist viçtig/,the memory is important,23 Experiences and Past Events
1072,vorher,/vorher/,beforehand,23 Experiences and Past Events
1073,später im Alltag,/spɛter im alltag/,later in everyday life,23 Experiences and Past Events
1074,gleich danach,/glaɪç danaç/,right afterwards,23 Experiences and Past Events
1075,zum ersten Mal,/tsum ersten mal/,for the first time,23 Experiences and Past Events
1076,sich ändern,/siç ɛndern/,to change,23 Experiences and Past Events
1077,kennenlernen im Alltag,/kennenlernen im alltag/,to get to know in everyday life,23 Experiences and Past Events
1078,zurückkehren,/tsuryckkehren/,to return,23 Experiences and Past Events
1079,sich an etwas erinnern,/siç an etvas erinnern/,to remember something,23 Experiences and Past Events
1080,erleben können,/erleben kønnen/,to be able to experience,23 Experiences and Past Events
1081,passieren können,/passiːren kønnen/,to be able to happen,23 Experiences and Past Events
1082,sich erinnern können,/siç erinnern kønnen/,to be able to remember,23 Experiences and Past Events
1083,vergessen können,/vergessen kønnen/,to be able to forget,23 Experiences and Past Events
1084,wirklich damals,/virkliç damals/,really back then,23 Experiences and Past Events
1085,wirklich früher,/virkliç fryher/,really formerly,23 Experiences and Past Events
1086,wirklich plötzlich,/virkliç pløttsliç/,really suddenly,23 Experiences and Past Events
1087,wirklich zuerst,/virkliç tsuerst/,really first,23 Experiences and Past Events
1088,wirklich danach,/virkliç danaç/,really afterwards,23 Experiences and Past Events
1089,wirklich schließlich,/virkliç ʃliːsliç/,really finally,23 Experiences and Past Events
1090,wirklich während,/virkliç vɛhrend/,really during,23 Experiences and Past Events
1091,wirklich letztes Mal,/virkliç lettstes mal/,really last time,23 Experiences and Past Events
1092,wirklich vor kurzem,/virkliç vor kurtsem/,really recently,23 Experiences and Past Events
1093,über die Erinnerung sprechen,/yber diː erinneruŋ spreçen/,to talk about memory,23 Experiences and Past Events
1094,über das Erlebnis sprechen,/yber das erlebnis spreçen/,to talk about experience,23 Experiences and Past Events
1095,über die Erinnerung ist wichtig sprechen,/yber diː erinneruŋ ist viçtig spreçen/,to talk about the memory is important,23 Experiences and Past Events
1096,wirklich vorher,/virkliç vorher/,really beforehand,23 Experiences and Past Events
1097,wirklich später,/virkliç spɛter/,really later,23 Experiences and Past Events
1098,wirklich gleich danach,/virkliç glaɪç danaç/,really right afterwards,23 Experiences and Past Events
1099,wirklich zum ersten Mal,/virkliç tsum ersten mal/,really for the first time,23 Experiences and Past Events
1100,sich ändern können,/siç ɛndern kønnen/,to be able to change,23 Experiences and Past Events
1101,kennenlernen können,/kennenlernen kønnen/,to be able to get to know,23 Experiences and Past Events
1102,zurückkehren können,/tsuryckkehren kønnen/,to be able to return,23 Experiences and Past Events
1103,sich an etwas erinnern können,/siç an etvas erinnern kønnen/,to be able to remember something,23 Experiences and Past Events
1104,zufrieden,/tsufriːden/,satisfied,24 Feelings Opinions and Preferences
1105,enttäuscht,/enttɔʏʃt/,disappointed,24 Feelings Opinions and Preferences
1106,überrascht,/yberraʃt/,surprised,24 Feelings Opinions and Preferences
1107,nervös,/nervøs/,nervous,24 Feelings Opinions and Preferences
1108,stolz,/stolts/,proud,24 Feelings Opinions and Preferences
1109,traurig,/traʊrig/,sad,24 Feelings Opinions and Preferences
1110,glücklich,/glyckliç/,happy,24 Feelings Opinions and Preferences
1111,wütend,/vytend/,angry,24 Feelings Opinions and Preferences
1112,sich freuen,/siç frɔʏen/,to be happy,24 Feelings Opinions and Preferences
1113,sich ärgern,/siç ɛrgern/,to get annoyed,24 Feelings Opinions and Preferences
1114,hoffen,/hoffen/,to hope,24 Feelings Opinions and Preferences
1115,befürchten,/befyrçten/,to fear,24 Feelings Opinions and Preferences
1116,meinen,/maɪnen/,to think,24 Feelings Opinions and Preferences
1117,finden,/finden/,to find / think,24 Feelings Opinions and Preferences
1118,bevorzugen,/bevortsugen/,to prefer,24 Feelings Opinions and Preferences
1119,wahrscheinlich,/vahrʃaɪnliç/,probably,24 Feelings Opinions and Preferences
1120,unsicher,/unsiçer/,uncertain,24 Feelings Opinions and Preferences
1121,überzeugt,/ybertsɔʏgt/,convinced,24 Feelings Opinions and Preferences
1122,angenehm,/aŋenehm/,pleasant,24 Feelings Opinions and Preferences
1123,unangenehm,/unaŋenehm/,unpleasant,24 Feelings Opinions and Preferences
1124,meiner Meinung nach,/maɪner maɪnuŋ naç/,in my opinion,24 Feelings Opinions and Preferences
1125,einverstanden,/aɪnverstanden/,in agreement,24 Feelings Opinions and Preferences
1126,eine Meinung haben,/aɪne maɪnuŋ haben/,to have an opinion,24 Feelings Opinions and Preferences
1127,etwas bevorzugen,/etvas bevortsugen/,to prefer something,24 Feelings Opinions and Preferences
1128,wirklich zufrieden,/virkliç tsufriːden/,really satisfied,24 Feelings Opinions and Preferences
1129,wirklich enttäuscht,/virkliç enttɔʏʃt/,really disappointed,24 Feelings Opinions and Preferences
1130,wirklich überrascht,/virkliç yberraʃt/,really surprised,24 Feelings Opinions and Preferences
1131,wirklich nervös,/virkliç nervøs/,really nervous,24 Feelings Opinions and Preferences
1132,wirklich stolz,/virkliç stolts/,really proud,24 Feelings Opinions and Preferences
1133,wirklich traurig,/virkliç traʊrig/,really sad,24 Feelings Opinions and Preferences
1134,wirklich glücklich,/virkliç glyckliç/,really happy,24 Feelings Opinions and Preferences
1135,wirklich wütend,/virkliç vytend/,really angry,24 Feelings Opinions and Preferences
1136,sich freuen können,/siç frɔʏen kønnen/,to be able to be happy,24 Feelings Opinions and Preferences
1137,sich ärgern können,/siç ɛrgern kønnen/,to be able to get annoyed,24 Feelings Opinions and Preferences
1138,hoffen können,/hoffen kønnen/,to be able to hope,24 Feelings Opinions and Preferences
1139,befürchten können,/befyrçten kønnen/,to be able to fear,24 Feelings Opinions and Preferences
1140,meinen können,/maɪnen kønnen/,to be able to think,24 Feelings Opinions and Preferences
1141,finden können,/finden kønnen/,to be able to find / think,24 Feelings Opinions and Preferences
1142,bevorzugen können,/bevortsugen kønnen/,to be able to prefer,24 Feelings Opinions and Preferences
1143,wirklich wahrscheinlich,/virkliç vahrʃaɪnliç/,really probably,24 Feelings Opinions and Preferences
1144,wirklich unsicher,/virkliç unsiçer/,really uncertain,24 Feelings Opinions and Preferences
1145,wirklich überzeugt,/virkliç ybertsɔʏgt/,really convinced,24 Feelings Opinions and Preferences
1146,wirklich angenehm,/virkliç aŋenehm/,really pleasant,24 Feelings Opinions and Preferences
1147,wirklich unangenehm,/virkliç unaŋenehm/,really unpleasant,24 Feelings Opinions and Preferences
1148,wirklich meiner Meinung nach,/virkliç maɪner maɪnuŋ naç/,really in my opinion,24 Feelings Opinions and Preferences
1149,wirklich einverstanden,/virkliç aɪnverstanden/,really in agreement,24 Feelings Opinions and Preferences
1150,eine Meinung haben können,/aɪne maɪnuŋ haben kønnen/,to be able to have an opinion,24 Feelings Opinions and Preferences
1151,etwas bevorzugen können,/etvas bevortsugen kønnen/,to be able to prefer something,24 Feelings Opinions and Preferences
1152,das Problem,/das problem/,problem,25 Problems Solutions and Everyday Situations
1153,lösen,/løsen/,to solve,25 Problems Solutions and Everyday Situations
1154,fehlen,/fehlen/,to be missing,25 Problems Solutions and Everyday Situations
1155,versuchen,/versuçen/,to try,25 Problems Solutions and Everyday Situations
1156,entscheiden,/entʃaɪden/,to decide,25 Problems Solutions and Everyday Situations
1157,das Problem ist wichtig,/das problem ist viçtig/,the problem is important,25 Problems Solutions and Everyday Situations
1158,der Fehler,/der fehler/,mistake,25 Problems Solutions and Everyday Situations
1159,die Ursache,/diː ursaçe/,cause,25 Problems Solutions and Everyday Situations
1160,der Grund,/der grund/,reason,25 Problems Solutions and Everyday Situations
1161,prüfen,/pryfen/,to check,25 Problems Solutions and Everyday Situations
1162,ersetzen,/ersettsen/,to replace,25 Problems Solutions and Everyday Situations
1163,eine Lösung finden,/aɪne løsuŋ finden/,to find a solution,25 Problems Solutions and Everyday Situations
1164,um Hilfe bitten,/um hilfe bitten/,to ask for help,25 Problems Solutions and Everyday Situations
1165,ein Problem lösen,/aɪn problem løsen/,to solve a problem,25 Problems Solutions and Everyday Situations
1166,die Möglichkeit,/diː møgliçkaɪt/,possibility,25 Problems Solutions and Everyday Situations
1167,der Vorschlag,/der vorʃlag/,suggestion,25 Problems Solutions and Everyday Situations
1168,die Schwierigkeit,/diː ʃviːrigkaɪt/,difficulty,25 Problems Solutions and Everyday Situations
1169,die Hilfe,/diː hilfe/,help,25 Problems Solutions and Everyday Situations
1170,die Voraussetzung im Alltag,/diː voraʊssettsuŋ im alltag/,requirement in everyday life,25 Problems Solutions and Everyday Situations
1171,die Gelegenheit,/diː gelegenhaɪt/,opportunity,25 Problems Solutions and Everyday Situations
1172,die Änderung,/diː ɛnderuŋ/,change,25 Problems Solutions and Everyday Situations
1173,die Entscheidung,/diː entʃaɪduŋ/,decision,25 Problems Solutions and Everyday Situations
1174,die Erfahrung im Alltag,/diː erfahruŋ im alltag/,experience in everyday life,25 Problems Solutions and Everyday Situations
1175,die Lösung im Alltag,/diː løsuŋ im alltag/,solution in everyday life,25 Problems Solutions and Everyday Situations
1176,über das Problem sprechen,/yber das problem spreçen/,to talk about problem,25 Problems Solutions and Everyday Situations
1177,lösen können,/løsen kønnen/,to be able to solve,25 Problems Solutions and Everyday Situations
1178,fehlen können,/fehlen kønnen/,to be able to be missing,25 Problems Solutions and Everyday Situations
1179,versuchen können,/versuçen kønnen/,to be able to try,25 Problems Solutions and Everyday Situations
1180,entscheiden können,/entʃaɪden kønnen/,to be able to decide,25 Problems Solutions and Everyday Situations
1181,über das Problem ist wichtig sprechen,/yber das problem ist viçtig spreçen/,to talk about the problem is important,25 Problems Solutions and Everyday Situations
1182,über der Fehler sprechen,/yber der fehler spreçen/,to talk about mistake,25 Problems Solutions and Everyday Situations
1183,über die Ursache sprechen,/yber diː ursaçe spreçen/,to talk about cause,25 Problems Solutions and Everyday Situations
1184,über der Grund sprechen,/yber der grund spreçen/,to talk about reason,25 Problems Solutions and Everyday Situations
1185,prüfen können,/pryfen kønnen/,to be able to check,25 Problems Solutions and Everyday Situations
1186,ersetzen können,/ersettsen kønnen/,to be able to replace,25 Problems Solutions and Everyday Situations
1187,eine Lösung finden können,/aɪne løsuŋ finden kønnen/,to be able to find a solution,25 Problems Solutions and Everyday Situations
1188,um Hilfe bitten können,/um hilfe bitten kønnen/,to be able to ask for help,25 Problems Solutions and Everyday Situations
1189,ein Problem lösen können,/aɪn problem løsen kønnen/,to be able to solve a problem,25 Problems Solutions and Everyday Situations
1190,über die Möglichkeit sprechen,/yber diː møgliçkaɪt spreçen/,to talk about possibility,25 Problems Solutions and Everyday Situations
1191,über der Vorschlag sprechen,/yber der vorʃlag spreçen/,to talk about suggestion,25 Problems Solutions and Everyday Situations
1192,über die Schwierigkeit sprechen,/yber diː ʃviːrigkaɪt spreçen/,to talk about difficulty,25 Problems Solutions and Everyday Situations
1193,über die Hilfe sprechen,/yber diː hilfe spreçen/,to talk about help,25 Problems Solutions and Everyday Situations
1194,über die Voraussetzung sprechen im Alltag,/yber diː voraʊssettsuŋ spreçen im alltag/,to talk about requirement in everyday life,25 Problems Solutions and Everyday Situations
1195,über die Gelegenheit sprechen,/yber diː gelegenhaɪt spreçen/,to talk about opportunity,25 Problems Solutions and Everyday Situations
1196,über die Änderung sprechen,/yber diː ɛnderuŋ spreçen/,to talk about change,25 Problems Solutions and Everyday Situations
1197,über die Entscheidung sprechen,/yber diː entʃaɪduŋ spreçen/,to talk about decision,25 Problems Solutions and Everyday Situations
1198,über die Erfahrung sprechen im Alltag,/yber diː erfahruŋ spreçen im alltag/,to talk about experience in everyday life,25 Problems Solutions and Everyday Situations
1199,über die Lösung sprechen im Alltag,/yber diː løsuŋ spreçen im alltag/,to talk about solution in everyday life,25 Problems Solutions and Everyday Situations
